sample_id,z,y
1988387,0,2.503356235666261
1592938,0,5.152913876454218
2188687,0,4.772663941278156
1541392,1,2.9538318092930225
2781003,1,3.4135155538791664
1528173,1,2.2992429429716483
659817,0,3.267124602699314
2166223,0,2.4785347406577887
3487566,0,2.662348776224773
3016376,0,3.241024317276969
1461109,1,2.44101243287488
3226950,1,2.2333688734037724
2824851,0,6.924279205643627
2679442,0,2.7533631254093685
2112352,1,3.768053373141251
331631,0,2.9849869089096828
578644,1,2.0456383634586617
2761829,0,3.596008418064728
2880387,0,2.5677696135615986
294596,1,1.3508454883754977
2401745,1,1.8445483957131263
3394585,1,1.724045414175885
2535516,1,1.6622391837377526
898920,0,4.6659135994528
3261217,0,5.631308913708214
1415097,1,2.797735466920161
537512,1,1.960301490870682
1048125,0,4.751130038911761
2589008,0,3.0687645217182187
245515,1,1.4460761436429208
2178353,1,1.6899710722763557
2253292,0,2.2927905198372565
1729232,0,3.7090311951155903
515124,0,1.631998841671041
2212482,1,2.4818966586336457
537759,0,4.619585797076556
2562673,0,3.1603409545766152
1395110,1,2.195949257007716
3051707,0,2.194323553908431
3360872,0,3.455593351543118
1559606,0,3.1778561336627416
1163392,0,2.4958771916357674
713241,1,1.8068684100167665
1631167,0,3.215968925692278
2256369,0,3.0142376279576206
2026253,0,2.9302872940470945
2264395,0,3.0730826989721987
2604245,0,3.591340487678853
3890726,1,2.0078577469306134
1527032,1,1.3617918371518212
3143122,0,4.472366138489749
469805,0,4.282568764834448
472272,0,2.6875083731110774
2833213,0,2.9650417519296903
3713631,1,2.6234445630361707
1261227,1,3.1542475466529045
2579566,0,2.416916226100961
416440,1,3.2586022992771966
3161463,0,3.677739554368169
2481512,0,2.96996524283993
1717965,1,2.9540348447686253
3406947,1,2.9847109125472207
685865,0,3.9169188872069625
1911012,0,2.721718590280703
3533392,0,2.006739667909492
409237,1,2.2753393502577555
754055,0,2.4904596234723377
1385211,0,2.4630643888280392
2028115,0,6.054233926854876
1662677,1,2.5643005591271995
2671713,0,4.529482615010566
3938625,0,4.643622482650765
918250,0,2.915934951827331
1125634,1,2.008217727595746
2483532,0,3.090977484078087
2111460,1,1.7244040087509684
1072027,0,3.281572432828772
2719851,0,3.0203287770579417
1079306,0,2.788482393903676
3167649,0,4.12991032992349
2575986,1,2.968608965974754
895199,1,1.5713898109288211
3064689,0,1.8826577029793656
832728,0,3.081220548109325
487347,1,1.9933411194983488
2883076,1,2.733020667494928
332374,1,2.696465396756205
1014813,0,4.370841564994857
3517410,0,3.432968957533831
3376658,0,3.796697271890823
2394805,0,3.509534527753702
862783,0,6.61082627159083
3285029,0,2.71551597058641
566200,1,2.376617297151863
2573815,1,2.432047066399364
1859729,0,3.23108257811742
2719798,0,2.963105971620346
346126,1,1.6287218331081224
1864567,0,3.353314800249329
3280703,0,2.8083119812122246
629263,0,3.5737141092922218
1319480,0,4.043695806413487
1228014,0,3.0507338744820265
640610,0,3.582628834827599
291340,1,1.6464971740076384
3908945,1,1.295617122604265
3856737,1,2.2640188520965894
2167244,1,2.8934558887485093
2482008,1,2.0598617131556525
3738702,0,3.274486730611029
368188,0,5.5251657859019065
1874938,0,5.215430615796112
565551,0,3.1703608461722625
2010116,1,1.4061077877092525
2664683,1,2.104387232271353
2904835,0,5.925933650276383
589146,1,3.8186769160184175
1409985,1,1.8991669423839237
1766956,1,3.3100996460806207
3807676,1,2.9543263121578978
1954952,0,2.9178325505838143
3875064,1,3.309871651487039
2506586,1,3.5234425456630865
893555,0,2.4865293597458957
1977026,1,1.4456861357430828
2406089,0,4.354868967233054
2617773,0,2.2200700769887654
2683297,0,3.337450852535333
