sample_id,z,y
1395599,1,-21.730926309268067
452783,1,-19.711323389626436
1873635,0,-28.93366785885025
490513,1,-18.371470547280115
209466,1,-22.54961665400096
3357343,0,-19.07177909533748
494058,1,-29.997506003853665
2215672,0,-28.561175959189143
1733902,1,-23.995021858596168
3109250,0,-19.44257576521693
195040,1,-21.626403139842715
3123626,0,-18.414614208002224
3390126,1,-17.829764396149933
1533436,1,-18.431648372179875
3912874,1,-17.964603704997078
426530,1,-22.20830724783876
1371932,0,-31.24594114298725
457805,1,-20.665461002116515
2901762,1,-20.03074512011486
3522898,1,-21.44265368000948
1753152,1,-23.79164088623215
2877941,0,-20.556025153241094
3877757,0,-19.94932465720957
3770594,0,-26.404702043305072
1283823,0,-30.55017778684148
3876045,1,-19.558881562389328
730363,0,-24.404371258650396
921522,1,-28.506309645652493
212335,1,-32.88928822856744
2465663,1,-22.32755431488285
1855211,1,-33.47675334939888
3189985,0,-31.504341601650548
2024461,0,-33.954546888784094
522079,0,-21.818287759197236
1367269,0,-18.690166655080727
554738,0,-17.782301794464868
2411113,0,-16.111799077639716
1417626,1,-20.70598719124469
3417642,1,-24.697299417263444
3941504,1,-20.48987526516891
2789172,1,-19.42550188969502
1687609,0,-21.671256543173893
3098392,1,-20.624717370873643
3099546,1,-25.313289798069928
2529781,0,-19.149242096924024
3345768,0,-16.19134140908213
379564,0,-16.59358691718927
2420098,1,-20.24197150009774
3425608,1,-25.95429847154175
1464764,0,-28.28546389545364
1134465,0,-29.020436433903736
3281769,1,-20.030977371746385
3789605,0,-25.85655307456605
1353600,0,-38.224179245387184
553785,0,-17.534544571757348
1633987,1,-19.36002098596404
1406389,0,-20.639058113251
1643905,1,-21.102757090924054
3352140,0,-19.096782451610714
1690961,0,-19.18366887929045
3801576,1,-21.09047917923032
252385,1,-23.465210902116304
1060714,0,-30.979884254179492
1957178,1,-22.11672592909781
1159679,1,-33.81794609246873
368376,1,-28.903884214147304
563477,0,-19.397604858643447
619926,0,-20.335738298014853
3735920,1,-19.763875031683853
3100094,1,-31.52596407055784
536854,1,-19.32967722532802
1142737,1,-33.70791302010317
2637806,1,-19.104351746130728
723418,0,-18.51160145071778
1748623,0,-20.18957531003277
1323118,1,-19.114810010452796
2795000,1,-16.408952464100032
2890021,1,-18.803317360077106
