sample_id,z,y
881744,1,0.255353793214169
2739715,1,0.2978265952836398
3406805,1,0.1103622134860067
256215,1,0.8004913691096567
3096874,0,0.8029798461863769
3866554,0,0.4075330113370727
1251215,1,0.8300419601748629
2998240,0,0.3166025075626716
945481,0,0.6562345890293128
1676373,0,0.8517379014089587
1454648,0,0.6256049118962926
3184279,1,0.5302424650289184
297242,0,1.0785387590776332
2516789,1,0.5702389219413427
1763560,0,0.8097725877060016
2214458,1,0.4857925329748742
710630,0,0.777607789781696
1562179,0,0.0585116436441369
3385819,0,0.5376132780795362
1721362,0,1.13876474026151
2445359,0,0.74041141656291
1596612,0,0.7658452693902145
3714020,1,0.8623346447351381
1919693,0,0.3533266608205343
3151074,0,0.1787801579219701
2754725,1,0.5430863586225495
1122415,0,0.7219273131970132
2131110,0,0.5268116220281243
3481065,1,0.3551511190599423
749282,0,0.6885230817869902
3664067,1,0.6500562819855634
1844763,0,1.222401505458061
860022,1,0.5136568013272369
3266792,0,0.5433316325430863
3660739,0,0.4888116550093678
743866,1,1.1392870636396708
268867,1,0.2674402321218395
2668208,0,-0.2577695057350931
3223905,1,0.4492967842569749
3369725,0,0.5944765615050546
2018704,1,0.0090897128379197
3323029,1,-0.1360055826856521
329852,1,1.2409411109531885
1490614,0,0.1736850210858119
3273157,0,0.4793557359186026
1409326,0,0.0367460673142097
390178,0,0.6122272119181829
1435218,0,0.5548312344094418
214941,1,0.4419432887584109
970828,1,1.163811129125754
2625435,1,0.5818885030152912
2063077,0,0.244805613699419
2880711,1,0.7111383645671824
1391480,0,0.7341996829897415
3805434,1,1.6310617844950066
3002873,0,0.3533889074542412
2467494,1,0.5250163746328307
2504591,0,0.2429955290471739
3163611,1,-0.2535077237801096
931111,1,0.5041464792569663
2176425,0,1.1249291793336127
1538355,1,0.1569195701164969
1084737,1,0.3987487607255953
1084875,1,0.6051959865224177
635904,1,0.2884982195619611
2550840,1,0.7009766801333162
2501197,0,0.950142021286856
2996720,0,0.4527271392835442
2902764,0,0.3250992672526583
3677205,0,0.5085684692759789
1201786,0,0.4538172042355783
2252222,1,-0.0455355117908643
718764,0,0.5359038090048869
3318895,1,0.6843280771325265
2475764,1,-0.1977252575053224
3370211,0,1.0334993392747296
233929,0,0.2617502333323926
1464687,1,0.7778256601689713
1706797,1,0.469365702656092
879740,1,0.7013042132070997
3924354,0,0.3287199133516112
992881,1,0.1651258861526973
1985606,0,0.4249330362249122
2164002,1,1.0923162093848604
3650680,0,0.3126033246197993
2245081,0,0.1495290536352115
627662,1,0.8342752657186204
3379675,1,0.740673207374457
1959113,0,0.6504415151407601
1246268,1,0.8399269730148666
2059958,1,1.2805682166698014
2730069,1,1.146752961046736
3463197,0,0.1057011108169553
1841960,1,0.4497896544957693
3075629,1,0.091955283873428
3331977,0,0.7622634308934756
553875,1,0.5302789448189461
2230721,0,0.2108740277822297
2662159,1,-0.1497249528350831
3017909,0,0.0334279775917381
2036741,0,-0.0921455777100501
3914975,1,0.3133698335415718
430512,0,0.7212399545859963
901403,0,0.753690858950575
310686,1,0.4411233410914978
3453990,1,0.7967671444324897
2044129,0,0.4189563161608842
1618754,0,-0.5192299979439152
3777927,0,-0.0703197383117313
1024910,1,0.2960170515881716
3156667,0,0.9957741429208932
1571716,0,-0.0134281685942971
3754312,1,-0.0481800157564054
3726079,0,0.8450745374705748
1625385,0,0.0511806832810622
830720,0,1.1584681237571164
218717,1,0.866416142039527
2862465,1,1.2035304327712093
3485437,1,-0.0640172918972332
2702857,1,0.5792856844811988
964904,1,0.3377353471814173
1484073,0,0.5749516751764522
3162191,0,1.3383318361458467
1565268,1,0.8192507195028589
1614401,0,0.5152063724657625
2741583,1,1.3775947984733854
314852,1,-0.0476135351150335
1434524,0,0.4387780501200964
2115209,1,0.8696041599133426
2994763,1,0.5683001159371912
1786938,1,0.2796110745588231
1819009,1,0.6246588061183131
325298,1,0.2793021456420228
3348614,1,0.5796155514919148
3321694,1,0.1186401328156051
1508407,0,0.7586870584533915
1500566,1,0.3375207070081493
2574097,0,0.7275635604833801
1871427,0,0.5278008205593423
3842062,0,1.482048721739789
3015243,1,0.3920321939677129
1010869,1,0.3199259605236241
3093140,1,0.5416989065778182
201568,1,0.8110994982265056
256774,1,0.8381307556687423
2986026,1,0.1581999458717501
2407384,0,0.2922067023041172
3919918,1,0.6847192574929717
2822727,0,-0.0166764715205269
704833,1,0.4040021349469523
1388052,0,0.8037617162006082
1991416,1,1.1575140516823468
1784113,1,0.4756194321785094
275693,1,-0.0294986699356843
1630942,0,0.402131873991598
1595697,1,0.6906273601378223
632848,1,0.4738265607459935
1830673,0,0.2954486265922932
1579850,1,0.344232333962276
2704710,0,-0.0449867368071431
2551500,1,1.0426551675364335
3933028,0,0.212997463445044
2456706,1,0.0295073008638964
2484382,1,0.2847118176414234
3749728,0,1.200051244074473
2640260,0,0.5031861310856204
1001728,1,0.6563334226801103
3148741,0,0.1871659867202798
3467080,0,0.5883479451859138
3799035,1,1.204992543999235
873350,1,0.8185178409928808
1810275,0,0.3832320764897181
3267702,0,0.903923685817728
1167985,0,0.5072675961049564
1512156,1,0.4902149774277726
3377177,0,-0.2299343453695796
2056632,1,-0.0087488767143376
1582955,0,0.520398309050769
1399344,0,0.4178498804097402
1767983,0,0.2174076737314998
952330,1,1.0621451182304784
2723022,0,0.107940603207944
551208,1,0.6693022379871636
3917374,0,0.0438519100527899
3674720,0,0.5467059298939348
806507,0,0.7835041190441685
3293860,0,0.1024083395156136
3502964,1,0.0557219187885455
2730281,1,0.878629229958241
672698,1,0.2976938482032701
2026798,1,0.2038755988280354
964786,0,-0.0714369710063338
440789,1,0.4668384532769217
701797,0,-0.2144964732382801
3270032,1,0.2685745161630586
1850204,0,0.6313471743809734
281185,1,0.926338675488261
2113866,0,0.892811600989522
3957118,1,0.2311798798912417
1296999,1,0.2697154016809741
750352,0,0.92054814066124
2727328,1,0.2957310631208842
890034,0,0.1004995416797076
1084938,0,0.5628878208767681
2495730,0,-0.278765890086279
3921090,1,1.2772381363758396
2803055,1,0.237564779508098
2713100,1,1.027349937070673
2121553,1,0.3570451297911281
1773203,1,1.066350930296201
3678940,1,0.6957106880416509
3757249,0,0.832029420402624
606397,1,0.5193393375516154
1698687,1,0.1717382411873132
1265719,0,0.7604114164417506
1426430,0,0.1964885210289707
2655054,0,0.50544468470513
898010,1,0.3866034551988836
3021603,0,0.6645164709801551
3417070,0,0.3578343421281628
2861147,1,0.2072398743756366
2112104,0,0.6702597627389797
854323,1,0.6560424757896505
3137225,1,0.510208979856363
3345363,0,0.3442379451681355
206374,1,0.7701127000140099
1816725,1,0.5099261088726225
3936867,1,-0.0118806149084574
2754961,1,0.2451653105628852
1291015,0,0.9840147124941554
2216387,0,0.4141532982200738
2164950,1,0.3639347394430045
3789975,1,0.6782189657568624
482742,1,0.4908248475874253
3264331,0,0.3162759803417713
2928483,1,0.0796072771727331
2679956,0,0.3464641486746978
615981,0,1.033409687317782
3837437,1,0.6051011297343203
2221782,1,0.4824645880472945
3857543,1,0.269592423901697
