sample_id,z,y
932230,1,-0.4363868186143678
1605153,1,-0.4363868186143678
1610092,0,-0.404253560037596
2135937,0,-0.4043770776460856
2453484,1,-0.4363868186143678
858283,0,-0.4043770776460856
2829606,1,-0.4363868186143678
3863383,1,-0.466403417407277
3320370,0,-0.4043770776460856
1041634,1,-0.4363868186143678
1370523,1,-0.4363868186143678
941121,1,-0.4362592835352669
1838268,1,-0.4362592835352669
1311872,0,-0.4043770776460856
3191942,0,-0.4043770776460856
2229492,1,-0.4362592835352669
1127058,1,-0.4363868186143678
1456141,1,-0.4362592835352669
1645569,0,-0.404253560037596
3699733,1,-0.4363868186143678
2980898,1,-0.4363868186143678
1428792,0,-0.404253560037596
3735920,0,-0.4043770776460856
1503507,0,-0.4043770776460856
3884502,0,-0.404253560037596
1514790,0,-0.4043770776460856
3388578,0,-0.4043770776460856
2684504,1,-0.4363868186143678
1637169,1,-0.4363868186143678
2445463,0,-0.404253560037596
1210847,0,-0.4043770776460856
1901540,0,-0.4043770776460856
3104133,1,-0.4362592835352669
897103,0,-0.4043770776460856
2775051,1,-0.4363868186143678
2150145,1,-0.4363868186143678
3418092,0,-0.4043770776460856
2606298,1,-0.4363868186143678
611225,0,-0.4043770776460856
3150696,1,-0.4363868186143678
3675491,1,-0.4363868186143678
1388493,1,-0.4362592835352669
3656041,0,-0.404253560037596
1747626,1,-0.4362592835352669
3476853,0,-0.4043770776460856
456385,0,-0.404253560037596
1324025,1,-0.4363868186143678
986296,0,-0.404253560037596
2053383,0,-0.4043770776460856
2631162,0,-0.404253560037596
1850289,1,-0.4362592835352669
3284458,1,-0.4362592835352669
1746793,0,-0.4043770776460856
450367,0,-0.4043770776460856
2394356,1,-0.4363868186143678
2053696,1,-0.4363868186143678
2965501,0,-0.404253560037596
1627200,1,-0.4362592835352669
933584,1,-0.4363868186143678
2206933,1,-0.4363868186143678
627843,1,-0.4363868186143678
3134468,0,-0.4043770776460856
1743579,1,-0.4363868186143678
931263,0,-0.404253560037596
621727,1,-0.4362592835352669
2662080,1,-0.4363868186143678
461050,1,-0.4363868186143678
1543451,1,-0.4362592835352669
1749439,1,-0.4363868186143678
3195707,1,-0.4363868186143678
2529646,0,-0.404253560037596
2871896,0,-0.4043770776460856
3062025,0,-0.4043770776460856
1572450,0,-0.4043770776460856
3732007,1,-0.4363868186143678
1743040,0,-0.404253560037596
3181715,1,-0.4363868186143678
955709,1,-0.4362592835352669
1491626,0,-0.4043770776460856
2567736,1,-0.4362592835352669
2614026,1,-0.4363868186143678
416562,0,-0.4043770776460856
515274,1,-0.4363868186143678
1284476,0,-0.4043770776460856
245873,0,-0.4043770776460856
573112,1,-0.4363868186143678
2896108,0,-0.404253560037596
1855893,1,-0.4363868186143678
3671818,1,-0.4362592835352669
2930449,0,-0.4043770776460856
867808,0,-0.4043770776460856
2978149,1,-0.4363868186143678
1770781,1,-0.4363868186143678
1032238,1,-0.4363868186143678
1452931,0,-0.404253560037596
3330018,1,-0.4363868186143678
1232824,1,-0.4363868186143678
670635,1,-0.4363868186143678
2538218,1,-0.4362592835352669
2001178,1,-0.4363868186143678
1366941,1,-0.4362592835352669
2054113,0,-0.4043770776460856
2776603,0,-0.404253560037596
3303700,0,-0.4043770776460856
2684203,0,-0.4043770776460856
1319323,1,-0.4363868186143678
2606585,1,-0.4362592835352669
3206673,0,-0.404253560037596
2996627,1,-0.4363868186143678
3161998,1,-0.4363868186143678
3720798,1,-0.4363868186143678
3467256,1,-0.4362592835352669
383501,0,-0.404253560037596
824429,1,-0.5728818864193711
1317708,1,-0.4363868186143678
3526892,0,-0.4043770776460856
868505,1,-0.4363868186143678
3399466,0,-0.404253560037596
2484154,0,-0.404253560037596
3331722,1,-0.4362592835352669
428125,0,-0.4043770776460856
1328791,0,-0.404253560037596
3513455,0,-0.4043770776460856
2795127,0,-0.4043770776460856
1404405,1,-0.4362592835352669
1346605,0,-0.4043770776460856
2745306,0,-0.4043770776460856
377962,0,-0.4043770776460856
2655512,0,-0.4043770776460856
2878477,1,-0.4362592835352669
1338560,1,-0.4362592835352669
881550,0,-0.404253560037596
2923106,1,-0.4363868186143678
2244684,0,-0.404253560037596
1195822,0,-0.4043770776460856
2607075,0,-0.404253560037596
3125904,0,-0.404253560037596
2513190,0,-0.4043770776460856
1442334,1,-0.4362592835352669
840016,1,-0.4363868186143678
1098696,1,-0.4363868186143678
2966542,0,-0.4043770776460856
2176838,0,-0.404253560037596
1153247,1,-0.4363868186143678
992555,0,-0.4043770776460856
2104603,0,-0.4043770776460856
3389195,1,-0.4362592835352669
2489888,0,-0.4043770776460856
860364,1,-0.4662719963807161
1244301,0,-0.4043770776460856
2866914,1,-0.4363868186143678
2149268,1,-0.4362592835352669
1493821,1,-0.4363868186143678
1375742,1,-0.4362592835352669
3662658,1,-0.4363868186143678
1497207,1,-0.4362592835352669
926594,0,-0.404253560037596
1523401,0,-0.4043770776460856
736525,1,-0.4362592835352669
2273359,1,-0.4363868186143678
3490001,0,-0.4043770776460856
3059631,0,-0.404253560037596
3148013,0,-0.4043770776460856
3898132,0,-0.4043770776460856
2147279,0,-0.4043770776460856
2133634,1,-0.4362592835352669
809886,1,-0.4363868186143678
3442662,0,-0.4043770776460856
2014135,1,-0.4363868186143678
3677228,1,-0.4363868186143678
3023978,1,-0.4362592835352669
1583146,1,-0.4362592835352669
917858,1,-0.4363868186143678
3055595,0,-0.4043770776460856
3779985,1,-0.4362592835352669
1134483,1,-0.4362592835352669
444343,1,-0.4363868186143678
2666210,1,-0.4363868186143678
923243,1,-0.4363868186143678
3697425,0,-0.404253560037596
1728599,1,-0.4362592835352669
1368591,0,-0.4043770776460856
1106586,1,-0.4363868186143678
547144,0,-0.4043770776460856
2701441,0,-0.4043770776460856
3810122,0,-0.4043770776460856
1073496,0,-0.4043770776460856
1456111,0,-0.404253560037596
2504128,0,-0.4043770776460856
1211357,1,-0.4363868186143678
2780793,1,-0.4363868186143678
1169724,0,-0.404253560037596
2104400,0,-0.404253560037596
1842346,1,-0.4362592835352669
3925757,1,-0.4363868186143678
3107585,0,-0.404253560037596
1443571,1,-0.4363868186143678
2495899,1,-0.4362592835352669
1067523,0,-0.404253560037596
1724402,1,-0.4362592835352669
2156950,1,-0.4362592835352669
3029714,1,-0.4363868186143678
3836929,0,-0.4043770776460856
1306274,0,-0.404253560037596
3206853,1,-0.4363868186143678
3882667,1,-0.4363868186143678
2481552,1,-0.4363868186143678
2280255,1,-0.4363868186143678
3424467,0,-0.4043770776460856
1760894,1,-0.4362592835352669
2759270,0,-0.4043770776460856
1361616,1,-0.4363868186143678
1264839,1,-0.4362592835352669
538726,1,-0.4363868186143678
1256009,1,-0.4362592835352669
3200711,0,-0.4043770776460856
2709576,1,-0.4363868186143678
1285546,1,-0.4362592835352669
403588,1,-0.4363868186143678
3792842,0,-0.4043770776460856
1225353,1,-0.4363868186143678
1513253,1,-0.4362592835352669
899576,0,-0.404253560037596
3875829,1,-0.4362592835352669
2148995,1,-0.4363868186143678
991675,1,-0.4363868186143678
1775415,1,-0.4362592835352669
2438842,0,-0.4043770776460856
759519,0,-0.4043770776460856
3071999,0,-0.4043770776460856
1489335,0,-0.404253560037596
2580796,0,-0.404253560037596
1637736,0,-0.4043770776460856
2178837,0,-0.4043770776460856
221559,0,-0.4043770776460856
1571367,0,-0.404253560037596
1530665,1,-0.4362592835352669
844246,0,-0.4043770776460856
3795211,0,-0.404253560037596
2993149,1,-0.4363868186143678
1463754,1,-0.4363868186143678
722828,1,-0.4363868186143678
1552098,0,-0.4043770776460856
865081,0,-0.404253560037596
2193944,1,-0.4363868186143678
1774079,0,-0.4043770776460856
1397747,0,-0.4043770776460856
2128786,1,-0.4362592835352669
3662169,0,-0.4043770776460856
1068501,1,-0.4363868186143678
1583689,1,-0.4362592835352669
1836278,1,-0.4363868186143678
1852703,1,-0.4363868186143678
1067292,1,-0.4363868186143678
947194,0,-0.404253560037596
2628518,0,-0.404253560037596
1821625,0,-0.4043770776460856
2578996,1,-0.4362592835352669
2904326,1,-0.4363868186143678
470209,1,-0.4363868186143678
1235310,0,-0.4043770776460856
1822060,0,-0.4043770776460856
1308225,1,-0.4362592835352669
2817099,1,-0.4363868186143678
3950755,0,-0.404253560037596
2105424,0,-0.4043770776460856
3431942,0,-0.4043770776460856
595528,1,-0.4363868186143678
2019912,1,-0.4363868186143678
206958,0,-0.404253560037596
1271541,1,-0.4363868186143678
1564210,0,-0.4043770776460856
1167372,1,-0.4363868186143678
3261041,1,-0.4363868186143678
2119779,0,-0.4043770776460856
2734828,0,-0.4043770776460856
2486487,1,-0.4362592835352669
1326856,1,-0.4363868186143678
2629822,1,-0.4363868186143678
1106434,1,-0.4362592835352669
1820189,0,-0.404253560037596
2670269,0,-0.4043770776460856
2407258,0,-0.4043770776460856
1306864,0,-0.404253560037596
1511452,1,-0.4363868186143678
1355276,0,-0.404253560037596
2949590,0,-0.404253560037596
2193686,0,-0.4043770776460856
1789236,1,-0.4362592835352669
3696585,0,-0.4043770776460856
926387,1,-0.4362592835352669
2710581,1,-0.4363868186143678
3012548,0,-0.4043770776460856
997907,0,-0.4043770776460856
3511957,1,-0.4363868186143678
3860214,1,-0.4363868186143678
948081,0,-0.4043770776460856
3061176,1,-0.4363868186143678
2735392,1,-0.4362592835352669
2632195,0,-0.404253560037596
1022194,0,-0.4043770776460856
2213924,1,-0.4363868186143678
542528,1,-0.4362592835352669
1251588,0,-0.4043770776460856
2782579,1,-0.4363868186143678
2183502,1,-0.4363868186143678
2222826,0,-0.4043770776460856
2978568,1,-0.4362592835352669
2717601,1,-0.4362592835352669
2565390,0,-0.404253560037596
1908675,0,-0.4043770776460856
3410400,0,-0.4043770776460856
3717873,1,-0.4363868186143678
2168160,0,-0.404253560037596
1325800,1,-0.4362592835352669
2447161,1,-0.4363868186143678
633051,0,-0.4043770776460856
2203118,1,-0.4363868186143678
1567514,1,-0.4363868186143678
674837,1,-0.4362592835352669
1099027,1,-0.4363868186143678
2515165,0,-0.4043770776460856
989464,1,-0.4363868186143678
2689991,1,-0.4362592835352669
1153737,0,-0.4043770776460856
2876540,1,-0.4363868186143678
3237300,1,-0.4363868186143678
727714,0,-0.4043770776460856
2136592,0,-0.404253560037596
2987111,1,-0.4363868186143678
2428022,1,-0.4363868186143678
338322,1,-0.4363868186143678
2150374,1,-0.4362592835352669
929139,1,-0.4362592835352669
2048508,0,-0.4043770776460856
1618454,0,-0.404253560037596
2906446,1,-0.4363868186143678
2685531,0,-0.4043770776460856
1915839,0,-0.404253560037596
2046984,0,-0.404253560037596
3165054,0,-0.4043770776460856
2615935,0,-0.4043770776460856
2710137,0,-0.4043770776460856
463511,1,-0.4363868186143678
2748477,1,-0.4363868186143678
2683738,0,-0.404253560037596
1822964,1,-0.4363868186143678
2515389,0,-0.4043770776460856
1397812,1,-0.4363868186143678
2704726,1,-0.4362592835352669
3682051,0,-0.4043770776460856
2474616,1,-0.4363868186143678
3679218,0,-0.4043770776460856
3499783,1,-0.4363868186143678
709790,0,-0.4043770776460856
3282039,0,-0.4043770776460856
2970804,0,-0.404253560037596
738247,0,-0.4043770776460856
2856202,1,-0.4362592835352669
1373661,0,-0.4043770776460856
2014600,1,-0.4363868186143678
1317507,0,-0.4043770776460856
3463155,0,-0.404253560037596
3443993,1,-0.4363868186143678
1415694,1,-0.4363868186143678
1610289,1,-0.4362592835352669
3767960,1,-0.4363868186143678
3468064,0,-0.4043770776460856
3064321,0,-0.404253560037596
1752506,1,-0.4362592835352669
2571624,0,-0.404253560037596
1618330,1,-0.4362592835352669
2571574,1,-0.4363868186143678
395000,0,-0.4043770776460856
3879428,1,-0.4362592835352669
256215,0,-0.4043770776460856
1956143,0,-0.4043770776460856
1573669,0,-0.404253560037596
372178,1,-0.4363868186143678
2058243,1,-0.4363868186143678
1936800,1,-0.254629755111917
3957686,1,-0.4363868186143678
3674950,0,-0.404253560037596
3084092,1,-0.4363868186143678
1992475,0,-0.4043770776460856
3090860,1,-0.4362592835352669
