sample_id,z,y
2123461,1,-3.396282626818693
1912840,0,-2.0407695618425445
3078480,1,-3.994101032715245
1866310,0,-3.319117340971045
2825058,1,-3.303356118064745
269261,1,-3.4260145599032605
3930043,0,-3.063837162252572
1247142,0,-4.27821473502574
713120,1,-3.891152738666821
1095223,1,-2.754780774931891
2515839,1,-2.70664915905719
348342,1,-3.522751643255796
3000232,1,-1.8874701358470736
1253952,0,-3.167680656262509
2949410,1,-3.200121771307329
476886,1,-4.106790957699846
3084457,0,-3.712749709785237
1271443,0,-3.1188495029202814
2869579,0,-3.927764748663728
656005,0,-2.990204335741609
217028,0,-4.045329584960319
1888825,1,-5.432866952489436
914315,0,-3.825373643965488
1460953,1,-3.205335524617651
1987439,0,-3.069045455482761
3246487,0,-3.8290851708457048
3470819,1,-5.139285557046896
2611398,0,-2.7103925882097406
2615394,0,-4.6782594163652
2488570,1,-2.835315219494136
2551730,1,-4.647411826455526
2911568,1,-4.697218585867306
1484043,0,-4.046323796453573
3866233,0,-3.5539986006610245
403016,0,-3.971889300353054
3354579,0,-3.5721837209007394
3884978,1,-3.2025497392362667
1562248,0,-2.80662936873201
530472,0,-2.5485866638103345
1946426,1,-5.123323061051403
2665866,0,-4.030882362943688
3835700,0,-3.710037364283279
2014809,0,-2.608616867943317
1760050,1,-4.033104437535863
2925690,1,-4.308177574084888
3220302,1,-3.7234430484025736
2504715,0,-3.432652950002568
1816257,0,-3.470782873875778
3053033,1,-2.559942278614435
2168849,1,-4.073547178092933
3743656,1,-2.510283666287037
3308978,1,-4.586102391774682
410185,1,-3.849336583562903
2132442,1,-3.653940568051553
2540331,0,-3.5643957776365616
901353,1,-3.758386289399082
1935966,1,-4.058891755810186
617764,1,-3.8690617573381054
1214138,0,-3.8429011458383946
2551793,1,-3.9261707494048728
3076207,0,-3.210411080463365
2863318,0,-3.937811835497505
3180746,1,-4.121264932062801
232123,1,-4.01055226067461
1060102,1,-2.9993225352325306
3514907,1,-4.185413996620378
1908098,1,-4.52849983945514
258581,1,-3.2873222033030878
622309,1,-6.692233126386475
1611098,1,-3.79613770817568
1936641,0,-3.398532739261898
2926264,0,-3.891583694755365
2211335,0,-3.429591497135802
2039029,0,-3.786451696605149
2442788,1,-4.951142471722791
1286917,0,-4.240295198492109
2212321,1,-4.495767979977489
1342145,1,-2.972888292855477
2853622,0,-3.904799523065258
580949,0,-3.537577650696924
2772392,1,-4.010041203390279
755790,0,-3.373115216510308
1589958,0,-4.14404696370184
3879865,0,-3.392329464859554
2033803,0,-3.004927823313932
391189,0,-2.8532854616744183
676256,0,-5.238018829595957
2704767,0,-1.1915285594437943
2420233,0,-0.4556031337689155
700513,0,-3.62681167764904
1692660,0,-3.3353141970897604
3456932,0,-2.7554921178888963
2534005,0,-3.239983091303587
2835284,0,-0.9713496475482428
930879,0,-4.5609388029998446
3278679,0,-3.418375077569715
481959,0,-1.0228569984955205
1793028,1,-4.038549385324226
682371,1,-4.056820691006969
1599864,1,-3.633950600490479
3751343,1,-2.169744052541829
1744999,0,-3.2257843827660686
2564681,0,-4.298032266890129
2754763,1,-4.823098371684433
1689874,1,-4.455514967399736
963589,0,-3.8898649409251056
2203513,0,-4.030749372581706
3306617,0,-2.9962881774380623
3053190,1,-1.8197570311840243
2000961,0,-4.057993864794667
2400173,1,-4.751089165711471
1547109,0,-3.7811604836045927
642753,0,-4.046485264010456
3003020,0,-3.282545963024078
3229827,0,-3.998443168410768
3690856,0,-3.196421763738492
2722044,1,-4.179828079428349
3106625,1,-2.4786594404790243
799833,0,-2.8190901812280758
2749365,0,-3.141685962438482
3357652,0,-3.555179260004092
1163093,0,-2.360074430992342
3439402,1,-4.1140384329989645
220306,0,-3.987070445590768
1692519,0,-3.6872644090201754
3661098,1,-2.4807380793162674
341028,1,-2.395212497791837
233246,1,-3.0443660748524004
2492315,0,-4.291838918745152
1331007,1,-3.5061976573923657
2832362,1,0.0685832400161658
3331623,0,-2.604205284139769
972478,0,-2.784954393766175
3945487,1,-4.194470528782807
994149,0,-4.059318311951892
3928466,0,-4.293487659651596
2832723,0,-0.0748860479412866
3745000,1,-2.440321100255541
2612070,1,-3.819266809182491
3659551,1,-3.2389034685106086
1152419,0,-2.836655969448315
2845610,0,-3.312659919586598
836523,0,-4.608699083316443
3546248,0,-3.482623606235721
680865,1,-4.177922240427559
528228,1,-6.34775106810765
3245413,1,-4.0827413330759725
3800994,0,-3.5568465366619857
1406660,1,-4.565156008515982
2130150,0,-4.103292979679823
244757,0,-3.4278604582987797
3244750,0,-3.1605339368907788
2042687,1,-4.944088129716002
2462425,0,-4.352796821220106
1718085,1,-4.617904472248167
3434644,1,-4.781786806260107
2137325,0,-3.685938079016333
2827848,1,-3.922999849237911
330694,1,-4.155264520164114
253292,0,-3.361756351284733
3729914,1,-4.265476171800537
1347316,1,-3.379511625741027
827986,1,-3.1119255551651515
1589516,0,-4.202435211120045
800546,0,-2.73051791629241
1268761,0,-0.2536191689292947
1240059,0,-3.3374781403889657
1778425,0,-3.6379942090296913
2443878,0,-4.10855274741504
980116,1,-0.4082065148261424
1538769,0,-4.349611104868086
3252837,1,-3.78433927369378
2222500,0,-3.7310078212289737
2944602,0,-3.0241474423083687
943038,1,-4.082908380736154
3842085,0,-2.987337422107286
1903998,0,-2.125362213925625
502185,0,-3.530393031404941
3415020,0,-3.614950350264012
2487727,0,-3.095064831866892
2989948,1,-4.517346741802388
2144170,1,-3.179449863877412
3760034,0,-0.7227582808269424
2502337,0,-3.661123261450703
549399,0,-3.554454276055496
713663,1,-3.6932516431946554
2704156,1,-7.463975616754822
1091706,1,-2.945088085592728
1334676,1,-4.022703734773891
651698,1,-4.968372105631718
1741634,1,-0.1422779702679178
669604,0,-3.491238190464157
1481529,1,-4.108136410339294
349325,0,-3.3332395095272216
2690108,0,-0.751718045106279
3211102,1,-3.443022271002871
3029142,1,-3.7135792766216342
1293660,1,-3.972269202680293
3314351,1,-3.443951690567867
1217247,1,-2.668141879004366
2896520,0,-3.690044762071728
1497758,0,-2.345575108534473
683386,1,-3.89083402608788
3019169,1,-2.4544003135103867
1644437,1,-4.134464480687213
3465543,1,-2.6321855349273644
3118201,0,-2.370218480446786
613999,0,-6.993797537627084
3462244,0,-1.1361115047046473
977311,1,-2.236678900968845
3094506,0,-1.312491069084905
976594,0,-3.1764383631838027
2870762,1,-3.821569131716561
2851186,1,-3.867031991952332
1602936,0,-4.155464504767663
3879778,1,-3.80135049053294
856007,1,-3.868898322200226
1564994,0,-4.597712845429106
721492,1,-3.890200165493136
514895,0,-3.135507403142044
2700286,0,-3.0571454838968117
1965949,1,-4.422833801970281
351325,0,-3.931300147140132
3505855,1,-3.176516676960351
1067011,1,-2.2574508682466075
1583137,0,-3.71951955895192
3720084,1,-3.837529358323902
1158899,0,-2.932506101649412
430083,1,-3.3977700066352017
1895706,1,-2.2150738678735413
3389187,1,-3.815883867716592
393280,0,-3.7396615146410577
3005136,1,-3.473029606075286
246573,0,-2.489811479765325
3453949,1,-2.8042243647814957
1976548,0,-4.313823851080133
3147683,1,-4.249372014527816
3418390,0,-2.4611943664043854
3221044,1,-2.5719756672993808
296773,0,-4.985958468991991
1021239,1,-4.550839936925919
2163471,1,-3.0974240255052585
1663525,1,-4.238590009726929
1548150,1,-4.088180321016454
1363967,1,-4.209393178095207
1106244,0,-2.435950080913362
3910722,1,-4.180175702894339
3528126,1,-2.2795160253789133
1892575,1,-3.848451521015465
1824383,1,-2.51917068602851
1366094,0,-3.22390029329436
3661735,1,-3.9958717892971096
1292609,1,-4.352092117885682
227352,1,-3.756549173118317
3870671,1,-2.5600173191835647
3041798,1,-3.2045124943933545
3453194,1,-1.738954833697448
1306935,0,-4.297324860610408
316788,0,-3.6428757600080734
3895518,0,-1.9540951964614368
1982457,0,-3.8970197898840255
401777,0,-3.019126512866067
1213614,0,-3.4601209235304355
1047949,1,-3.7875750494679954
1767627,0,-0.4576334471312256
3908516,1,-4.984887149830945
2259012,1,-4.279450878465162
300765,1,-3.920219344204977
3773007,0,-0.2021917174768402
1731394,1,-4.774533675367339
1408270,0,-4.000573357748504
2710587,0,-3.3799777473559773
3762054,0,-3.388850765135496
961925,0,-3.751682606134
728187,0,-4.251977859757278
3388173,1,-4.660077112978011
876967,1,-6.37838660660273
2525329,0,-2.986546091906216
1602961,1,-3.570715617313348
452162,1,-3.537879131277673
3116167,0,-2.4275768629567187
932215,0,-4.1213243138793
1679771,0,-4.180739882935816
1442256,1,-3.4439371417604407
1378437,1,-4.969848162945191
2639421,1,-2.5117436641151665
3794205,0,-3.0326147967730908
534090,0,-3.718991400079993
2452272,0,-4.479591209053715
1577932,0,-3.654552052510621
1891687,1,-2.8265119410232757
1332957,1,-4.269185094365564
3833862,1,-2.382231989235713
2675809,1,-3.449657789430149
2745070,0,-2.421744524726269
3142388,0,-3.3054219528859585
2522385,0,-3.3858231903490665
